table,name,key,title,description,comments,example,type,format,unique,required,minimum,maximum,namespace,dcterms:isVersionOf,dcterms:references,rdfs:comment,status,new,ignore
material,materialEntityID,pk,Material Entity ID,An identifier for a dwc:MaterialEntity.,Recommended best practice is to use a globally unique identifier.,`06809dc5-f143-459a-be1a-6f03e63fc083`,string,default,TRUE,TRUE,,,dwc,http://rs.tdwg.org/dwc/terms/materialEntityID,http://rs.tdwg.org/dwc/terms/version/materialEntityID-2023-09-13,An identifier for a particular instance of a dwc:MaterialEntity.,recommended,FALSE,FALSE
material,digitalSpecimenID,,Digital Specimen ID,An identifier for a Digital Specimen resource.,A Digital Specimen is defined in https://doi.org/10.3897/rio.7.e67379. A dwc:digitalSpecimenID is intended to uniquely and persistently identify a Digital Specimen. Recommended best practice is to use a DOI with machine readable metadata in the DOI record that uses a community agreed metadata profile (also known as FDO profile) for a Digital Specimen. For an example see: https://doi.org/10.3535/N75-CR4-0SM?noredirect. The identifier is for a digital information artifact (the Digital Specimen) as opposed to an identifier for a specific instance of a dwc:MaterialEntity.,`https://doi.org/10.3535/M42-Z4P-DRD`; `https://doi.org/10.3535/M42-Z4P-DRD?urlappend=/1`; `https://doi.org/10.3535/M42-Z4P-DRD?locatt=/1`; `doi:10.3535/M42-Z4P-DRD`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/digitalSpecimenID,http://rs.tdwg.org/dwc/terms/version/digitalSpecimenID-2025-06-12,An identifier for a particular instance of a Digital Specimen.,recommended,FALSE,FALSE
material,eventID,fk,Event ID,An identifier for a dwc:Event.,Recommended best practice is to use a globally unique identifier.,,string,default,FALSE,TRUE,,,dwc,http://rs.tdwg.org/dwc/terms/eventID,http://rs.tdwg.org/dwc/terms/version/eventID-2023-06-28,An identifier for the set of information associated with a dwc:Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,recommended,FALSE,TRUE
material,materialCategory,,Material Category,A broad category that best matches the nature of a dwc:MaterialEntity.,"Recommended best practice is to use a limited, tightly controlled vocabulary.",`preserved`; `living`; `fossilized`; `tissue`; `DNA extract`; `non-biological`; `human-made`,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material,discipline,,Discipline,The primary branch or branches of knowledge represented by the dwc:MaterialEntity.,This term can be used to classify records according to branches of knowledge. Recommended best practice is to use a controlled vocabulary and to separate the values in a list with space vertical bar space (` | `). It is also recommended to use this field to describe specimenType in MIDS.,`Botany`; `Botany | Virology | Taxonomy`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/discipline,http://rs.tdwg.org/dwc/terms/version/discipline-2025-06-12,The primary branch or branches of knowledge represented by the record.,recommended,FALSE,FALSE
material,materialEntityType,,Material Entity Type,A narrow category that best matches the nature of a dwc:MaterialEntity.,"A more generic classification of a dwc:MaterialEntity than dwc:preparations. Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`Macro-object`; `Micro-object`; `Oversized object`; `Cut/polished gemstone`; `Compound Specimen`; `Core`; `Mixed Materials`; `Environmental sample`; `Microscope slide`; `Spore print`; `Macrofossil`; `Mesofossil`; `Microfossil`; `Pinned object/specimen`; `Taxidermy mount`; `Blood sampling cards`; `Oversized fossil`; `Anthropogenic Artifact`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/materialEntityType,http://rs.tdwg.org/dwc/terms/version/materialEntityType-2025-06-12,A category that best matches the nature of a dwc:MaterialEntity.,recommended,FALSE,FALSE
material,institutionCode,,Institution Code,A name (or acronym) an organization.,,`MVZ`; `FMNH`; `CLO`; `UCMP`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/institutionCode,http://rs.tdwg.org/dwc/terms/version/institutionCode-2023-06-28,A name (or acronym) an organization.,recommended,FALSE,FALSE
material,institutionID,fk,Institution ID,An identifier for an organization.,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Research Organization Registry (ROR) or the Global Registry of Scientific Collections (https://scientific-collections.gbif.org/).",`https://ror.org/015hz7p22`; `http://grscicoll.org/institution/museum-southwestern-biology`; `https://www.gbif.org/grscicoll/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381`,string,default,FALSE,FALSE,,,dwc,http://rs.tdwg.org/dwc/terms/institutionID,http://rs.tdwg.org/dwc/terms/version/institutionID-2025-06-12,An identifier for the institution having custody of the object(s) or information referred to in the record.,recommended,FALSE,FALSE
material,ownerInstitutionCode,,Owner Institution Code,A name (or acronym) in use by an institution having ownership of a dwc:MaterialEntity.,,`NPS`; `APN`; `InBio`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,http://rs.tdwg.org/dwc/terms/version/ownerInstitutionCode-2023-06-28,The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.,recommended,FALSE,FALSE
material,ownerInstitutionID,fk,Owner Institution ID,An identifier for an institution that owns a dwc:MaterialEntity.,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Research Organization Registry (ROR) or the Global Registry of Scientific Collections (https://scientific-collections.gbif.org/).",`https://ror.org/015hz7p22`; `http://grscicoll.org/institution/museum-southwestern-biology`; `https://scientific-collections.gbif.org/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381`,string,default,FALSE,FALSE,,,dwciri,,,,recommended,TRUE,TRUE
material,collectionCode,,Collection Code,"A name, acronym, coden, or initialism identifying a collection.",,`Mammals`; `Hildebrandt`; `EBIRD`; `VP`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/collectionCode,http://rs.tdwg.org/dwc/terms/version/collectionCode-2023-06-28,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.",recommended,FALSE,FALSE
material,collectionID,,Collection ID,An identifier for a collection.,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Global Registry of Scientific Collections (https://scientific-collections.gbif.org/).",`https://scientific-collections.gbif.org/collection/fbd3ed74-5a21-4e01-b86a-33d36f032d9c`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/collectionID,http://rs.tdwg.org/dwc/terms/version/collectionID-2025-06-12,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.",recommended,FALSE,FALSE
