label,term,column,definition,qualified_term,notes,tdwg_rdf_schema,is_published,editorial_note
Term,term,term,A word or phrase used to represent a concept  that follows a specific naming convention suitable for machine use,rdf:label,,term_localName,TRUE,
Label,prefLabel,label,The preferred lexical label for a resource in a given language,skos:prefLabel,,label,TRUE,
Class Name,className,class_name,Class name (without preferred namespace prefix) a term (rdf:Property) belongs to,rdfs:Class,,tdwg_rdf_schema,TRUE,
Class IRI,classIRI,class_iri,An internationalized resource identifier used to unique identify a class or the class a term belongs to,tdwg:classIRI,,tdwgutility_organizedInClass,TRUE,
Material Category,materialCategory,material_category,The semantic boundaries of a concept within which a concept is valid within the context of a dwc:Material,tdwg:materialCategory,Intended to be used in conjuncture with dwc:materialCategory or dwc:materialEntityType,,TRUE,
Definition,definition,definition,A descriptive statement that supplies a complete explanation of the intended meaning of the type and serves to differentiate it from related concepts.,skos:definition,,definition,TRUE,"Alternate rdf_schema term, rdfs_comment"
examples,examples,examples,Supplies an example of concept usage,skos:example,,examples,TRUE,
Usage,usageNotes,usage_note,Information on how a term is to be used.,vann:usageNote,,notes,TRUE,"Alternate rdf schema term, dcterms_description"
source,source,source,"List of resources (bibliographic citations, URLs, and general descriptive statements) used for the construction of a term and/or its supporting metadata (e.g., definition, usage note).",dcterms:source,,,FALSE,
RDF Type,rdfType,rdf_type,Property that states the type or category a term belongs within the class-property data structure defined in the RDF Schema,rdf:type,,rdf_type,TRUE,
datatype,dataType,datatype,"Identifies the type of data, which has a bearing on the acceptable data values, the operations that can be performed with the data, and the ways in which the data are stored.",cv:DataType,A subset of the values in the source scheme are utilized by TDWG standards,,TRUE,
Required,isRequired,is_required,Specifies that when a resource is utilized  a value must be supplied,tdwg:isRequired,,tdwgutility_required,TRUE,
Note,note,note,"A general note, for any purpose not covered elsewhere in the vocabulary",skos:note,,usage,TRUE,
editorial_notes,editorialNotes,editorial_note,"Notes for an editor, translator or maintainer of the vocabulary.",skos:editorialNote,,,FALSE,
namespace,namespacePrefix,namespace,The preferred namespace prefix to use when using terms from this vocabulary,vann:preferredNamespacePrefix,,,TRUE,
namespace_iri,namespaceIRI,namespace_iri,The preferred namespace URI to use when using terms from this vocabulary,vann:preferredNamespaceURI,,term_isDefinedBy,TRUE,
Term IRI,termIRI,term_iri,An internationalized resource identifier used to unique identify a resource (term).,tdwg:termIRI,,,TRUE,
Modified,lastModified,term_modified,Date on which the resource was changed and serves as the version identifier,dcterms:modified,Scope of the modification is a single defined term,term_modified,TRUE,
Created,created,term_created,Date on which the term was published as part of a ratified standard,dcterms:created,,term_created,TRUE,
Document Modified,documentModified,document_modified,Date on which the vocabulary was modified and last published,dcterms:modified,Changes associated with a formal republication of a standard generate a new modified date,document_modified,FALSE,
