term,fieldtype,datatype,label,class_name,material_scope,definition,examples,usage,source,rdf_type,datatype,required,notes,editorial_notes,namespace,namespace_iri
specimenDescription,Specimen Description,dwc:MaterialAssertion,Specimen,Comments or notes about the specimen (physical object) especially those that distinguish the specimen from similar materials in a collection,Showpiece | Historically valuable | Extraordinary composition | Two generations of quartz,See broader concept http://rs.tdwg.org/dwc/terms/occurrenceRemarks for additional usage notes,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
verbatimSize,Verbatim Size,dwc:MaterialAssertion,Specimen,The verbatim size of a specimen as originally described in primary source material,10 cm x 5 cm X 5 cm | largest diameter 16 cm | width 3 inches,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
measuredWidthInMillimeters,Measured Width in Millimeters,dwc:MaterialAssertion,Specimen,Measured width of specimen reported numerically in millimeters,10,"Height, width, and depth measurements should measured along perpendicular axes from a single shared point of origin",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
measuredHeightInMillimeters,Measured Height in Millimeters,dwc:MaterialAssertion,Specimen,Measured height of specimen reported numerically in millimeters,5,"Height, width, and depth measurements should measured along perpendicular axes from a single shared point of origin",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
measuredDepthInMillimeters,Measured Depth in Millimeters,dwc:MaterialAssertion,Specimen,Measured depth of specimen reported numerically in millimeters,2,"Height, width, and depth measurements should measured along perpendicular axes from a single shared point of origin",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
verbatimMass,Verbatim Mass,dwc:MaterialAssertion,Specimen,The original reported verbatim mass includes original units of measurement,11.01 Lbs | 105.07 g | 2.45 kg,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
measuredMassInGrams,Measured Mass In Grams,dwc:MaterialAssertion,Specimen,Mass of specimen measured in grams,4994,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
mineralDescription,Mineral Description,dwc:MaterialAssertion,Constituent Part,"Comments or notes about the mineral instance, especially those that distinguish the mineral from similar materials in a collection",Pink fluorite on quartz | Lengenbachite on sugar-grained dolomite | Epitaxial growth on kyanite | Doubly terminated quartz crystals,"The scope of this term is strictly to a mineral within the context of the specimen. Specimen level descriptions belong in the related term, specimenDescription. Sibling concept to http://rs.tdwg.org/dwc/terms/occurrenceRemarks",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
maxCrystalDimensionInMillimeters,Maximum Axial Dimension,dwc:MaterialAssertion,Constituent Part,Maximum axial dimension of largest crystal measured in millimeters,30,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
associatedMinerals,Associated Minerals,dwc:MaterialAssertion,Constituent Part,List of secondary minerals associated with a mineral in a specimen,calcite | dolomite | baryte,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
