term,label,class_name,class_ns_name,material_scope,definition,examples,usage_note,source,rdf_type,datatype,is_required,note,editorial_note,namespace,namespace_iri,term_created,term_modified,document_modified,last_published
MaterialEntity,Material Entity,MaterialEntity,dwc:MaterialEntity,,,,"Each Specimen Part belongs to one and only one Geological Specimen Material Category (Rock, Fossil, Mineral, etc). The shared characteristic among all records that utilize the Mineralogy Extension is they must belong to the Geological Specimen Material Category, Mineral defined as an element or a chemical compound that is normally crystalline and that has been formed as a result of geological processes (Nickel 1995).","Term nomenclature adopted primarily from GeoSciML (4.1 and 3.2), Basic Formal Ontology, and the Geoscience Ontology. The terminology is based on Miller III, W. (2003). Paleobiology of complex trace fossils. Palaeogeography, Palaeoclimatology, Palaeoecology, 192(1-4), 3-14.",http://www.w3.org/2000/01/rdf-schema#Class,,TRUE,Specimens comprised of and defined by Specimen Parts unified through physical attachment or other unifying criteria are referred to as Compound Specimens,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
materialProportion,Proportion,MaterialEntity,dwc:MaterialEntity,Specimen Part,The qualitative or quantitative abundance of a specimen part relative to its parent compound specimen.,20% | minor | dominant,Recommended best practice is to use a controlled vocabulary such as https://cgi.vocabs.ga.gov.au/object?uri=http%3A//resource.geosciml.org/classifier/cgi/proportionterm,Definition adopted from GeoSciML 4.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
materialRole,Role,MaterialEntity,dwc:MaterialEntity,Specimen Part,Specifies the relationship between a specimen part and its parent compound specimen.,matrix | groundmass | phenocryst | xenolith | vein,"Roles depend on both the part and the parent object. For instance, a rock (material category) within the parent specimen serves as a clast and depends on both the specimen part and the parent specimen for its existence. Recommended best practice is to use a controlled vocabulary such as https://cgi.vocabs.ga.gov.au/object?uri=http://resource.geosciml.org/classifier/cgi/compoundmaterialSpecimenPartrole",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,The role defines the relationship between a Specimen Part and its parent compound object.,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
GeoName,GeoName,GeoName,dwc:GeoName,,The designation of a geological material by a linguistic expression including both informal (verbatim) and formal (classifications) types.,,,,http://www.w3.org/2000/01/rdf-schema#Class,,,,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
geologicalMaterialName,Geological Material Name,GeoName,dwc:GeoName,Specimen Part,"A human-readable lexical label assigned to a geological material includes both informal (e.g., variety, synonym) and formal (classification) forms.",Quartz | Smoky Quartz | Muscovite | Garnet Group,"The name defined in the first object is considered the preferred name. For linked data and semantic purposes, the classification name is the skos:prefLabel and all other informal names are skos:altLabel.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,TRUE,,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
geologicalMaterialNameID,Geological Material Name Identifier,GeoName,dwc:GeoName,Specimen Part,An identifier for the set of dwc:GeoName information. May be a globally unique identifier or a dataset-specific identifier.,8fa58e08-08de-4ac1-b69c-1235340b7001 | https://api.mindat.org/minerals_ima/21,"Recommended best practice is to use a persistent, globally unique identifier.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
geologicalMaterialNameLanguage,Geological Material Name Language,GeoName,dwc:GeoName,Specimen Part,Language of the name,en,"Recommended practice is to use either a non-literal value representing a language from a controlled vocabulary such as ISO 639-2 or ISO 639-3, or a literal value consisting of an IETF Best Current Practice 47 language tag.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,dcterms,http://purl.org/dc/terms/,,,,
classificationSystem,Classification System,GeoName,dwc:GeoName,Specimen Part,"A reference to the classification system in which an authoritative name or formal classification belongs, provided as formal citations or URI to an external resource.",Strunz | H. & Nickel | E.H. (2001): Strunz mineralogical tables. Schweizerbart | Stuttgart | 869 p. | Gaines | R.V. | Skinner | H.C. | Foord | E.E. | Mason | B. | Rosenzweig | A. (1997): Danaâ€™s new mineralogy. Wiley & Sons | New York | 1819 p.,This term should not be confused with dwc:namePublishedIn. Classification systems are not equivalent to publications for which a species is first described as used in dwc:namePublishedIn.  ,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
classificationCode,Classification Code,GeoName,dwc:GeoName,Specimen Part,Alphanumeric pattern that adheres to a defined encoding scheme that identifies a particular term in a classification scheme.,71.02.02a.01 | 9.AD.25,Classification codes are specific to a classification system and conform to a xkos:notationPattern.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Classification codes conform to a specific pattern specific to the scheme. See xkos:notationPattern,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
geologicalMaterialNameType,Geological Material Name Type,GeoName,dwc:GeoName,Specimen Part,A term belonging to a categorization scheme for organizing geological material names based on usage and concept lineage.,Variety | Synonym | Classification | Historical | Group Name,"Ideally, terms in this field are derived from an enumerated domain such as https://kos.resources.org/def/geological-specimen-name-type. See Gavryliv (2023) for a detailed breakdown of informal, alternate names. Careful quantification is challenging with very specific definitions.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,"Best suited for enumerated domains, but careful quantification is challenging with very specific definitions. ",,dwc,http://rs.tdwg.org/dwc/terms/,,,,
